timestamp,attack_type,severity,src_ip,dst_ip,port,detail
2026-04-09 04:55:32,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:33,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:34,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 42/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 41/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 40/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 40/sec
2026-04-09 04:55:35,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 40/sec
2026-04-09 04:55:36,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 40/sec
2026-04-09 04:55:36,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 40/sec
2026-04-09 04:55:36,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 40/sec
2026-04-09 04:55:36,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 40/sec
2026-04-09 04:55:36,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 39/sec
2026-04-09 04:55:36,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 39/sec
2026-04-09 04:55:36,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 39/sec
2026-04-09 04:55:36,SYN FLOOD,HIGH,10.0.0.1,192.168.132.101,80,SYN rate: 39/sec
